Lat,Lng,Type,Value,Time
-45.839,170.508,1,20,1468143730
-45.839,170.508,1,20,1468143731
-45.839,170.508,1,20,1468143733
-45.839,170.508,1,20,1468143733
-45.839,170.508,1,20,1468143735
-45.839,170.508,1,20,1468143739
-45.839,170.508,1,20,1468143741
-45.839,170.508,1,20,1468143748
-45.839,170.508,1,20,1468143749
-45.839,170.508,1,20,1468143751
-45.839,170.508,1,20,1468143752
-45.839,170.508,1,20,1468143753
-45.839,170.508,1,20,1468143769
-45.839,170.508,1,20,1468143770
-45.839,170.508,1,20,1468143773
-45.839,170.508,1,20,1468143773
-45.839,170.508,1,20,1468143774
-45.839,170.508,1,20,1468143775
-45.839,170.508,1,20,1468143777
-45.839,170.508,1,20,1468143781
-45.839,170.508,1,20,1468143782
-45.839,170.508,1,20,1468143784
-45.839,170.508,1,20,1468143787
-45.839,170.508,1,20,1468143787
-45.839,170.508,1,20,1468143788
-45.839,170.508,1,20,1468143788
-45.839,170.508,1,20,1468143791
-45.839,170.508,1,20,1468143792
-45.839,170.508,1,20,1468143793
-45.839,170.508,1,20,1468143794
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,0,0,0
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,0,196,35
0,0,0,240,240
0,0,0,240,240
0,0,0,240,240
0,0,0,240,240
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
